16
0.550000 0.150000 90.000000
0.750000 0.350000 90.000000
0.550000 0.250000 90.000000 0.0
0.650000 0.450000 135.000000 0.0
0.550000 0.350000 90.000000 0.0
0.550000 0.550000 135.000000 0.0
0.550000 0.450000 90.000000 0.0
0.450000 0.550000 180.000000 0.0
0.550000 0.550000 90.000000 0.0
0.450000 0.650000 90.000000 0.0
0.450000 0.550000 180.000000 0.0
0.450000 0.750000 90.000000 0.0
0.450000 0.650000 90.000000 0.0
0.550000 0.850000 45.000000 0.0
0.450000 0.750000 90.000000 0.0
0.450000 0.850000 180.000000 0.0
0.450000 0.850000 90.000000 0.0
0.450000 0.950000 90.000000 0.0
